Date,Average Sentiment
17-02-2023,0.6902
16-02-2023,0.81775
15-02-2023,0.9819
14-02-2023,0.61244
13-02-2023,0.804525
12-02-2023,0.7565
10-02-2023,0.4524
09-02-2023,-0.853766667
08-02-2023,0.636614286
07-02-2023,0.4220625
06-02-2023,-0.316522222
05-02-2023,0.7717
04-02-2023,0.226055556
03-02-2023,0.245922222
02-02-2023,0.94036
01-02-2023,0.9766
31-01-2023,0.82646
30-01-2023,0.755871429
29-01-2023,-0.7184
28-01-2023,0.9526
27-01-2023,-0.1289
26-01-2023,-0.032375
25-01-2023,0.886
24-01-2023,0.5779
22-01-2023,0.9402
20-01-2023,0.9823
19-01-2023,0.822
10-01-2023,0.39125
09-01-2023,0.4215
07-01-2023,0.9889
05-01-2023,0.9962
03-01-2023,-0.2654
04-01-2023,0.981
20-12-2022,-0.2023
18-12-2022,0.9867
13-12-2022,0.4404
12-12-2022,0.9682
09-12-2022,0.9973
05-12-2022,0.9451
04-12-2022,0.9669
29-11-2022,0.9944
28-11-2022,0.9001
25-11-2022,0.9956
24-11-2022,0.7905
23-11-2022,0.9946
22-11-2022,0.9623
18-11-2022,0.8934
14-11-2022,0.8246
11-11-2022,-0.6311
10-11-2022,0.8834
17-10-2022,0.7506
13-10-2022,0.7416
10-10-2022,0.9796
03-10-2022,0.9575
06-10-2022,0.9986
22-09-2022,0.983
20-09-2022,0.9601
19-09-2022,0.47065
16-09-2022,0.96
15-09-2022,0.9769
08-09-2022,-0.6597
07-09-2022,0.9885
04-09-2022,0.9964
29-08-2022,0.9167
26-08-2022,0.9766
22-08-2022,-0.9403
03-08-2022,0.9576
02-08-2022,0.98465
26-07-2022,0.8268
27-07-2022,0
19-07-2022,0.9895
15-07-2022,0.996
12-07-2022,0.9758
09-07-2022,0.9884
21-06-2022,0.9783
14-06-2022,0.9976
13-06-2022,0.11915
26-05-2022,0.6124
17-05-2022,0.8591
16-05-2022,0.93585
10-05-2022,0.9656
07-04-2022,0.996
28-03-2022,0.9819
08-02-2022,0.946
11-01-2022,0.9768
14-12-2021,0.9825
23-11-2021,0.9879
13-10-2021,0
26-08-2021,0.9217
02-08-2021,0.9702
19-07-2021,0.9753
29-06-2021,0.996
24-06-2021,0.9802
15-06-2021,0.8562
14-06-2021,0.545166667
07-06-2021,-0.6198
13-05-2021,0.4767
12-04-2021,0.9782
07-04-2021,0.9747
17-03-2021,0.9607
20-01-2021,0
23-12-2020,0.9897
01-09-2020,0.4679
24-08-2020,0.8934
20-08-2020,0.3548
14-05-2020,0.9955
13-04-2020,0.2728
20-03-2020,0.9153
09-03-2020,0.9382
18-11-2019,0.8653
18-10-2019,0.9584
18-06-2019,0.9797
30-05-2019,0.9805
27-03-2019,0.9925
17-01-2019,0.9934
04-11-2018,0.979
14-10-2018,0.9909
21-06-2018,-0.6829
20-06-2018,0.9648
21-05-2018,0.946
07-03-2018,0.8903
01-03-2018,0.9716
07-02-2018,0.9373
03-02-2018,0.9878
23-01-2018,0.9908
21-12-2017,0.9892
18-12-2017,0.9565
04-12-2017,0.8898
27-10-2017,0.9884
26-10-2017,0.9902
13-10-2017,0.9623
21-09-2017,0.9245
17-07-2017,0.9652
22-05-2017,0.7902
18-05-2017,0.9749
18-04-2017,0.9661
05-04-2017,0.9976
03-04-2017,0.9465
29-03-2017,0.9911
16-03-2017,0.8934
20-02-2017,0.9887
24-01-2017,-0.7662
17-01-2017,0.9504
13-01-2017,0.9723
06-12-2016,0.9909
05-12-2016,0.9633
02-12-2016,0.9738
11-11-2016,0.9892
10-11-2016,0.97615
01-11-2016,0.9819
27-10-2016,0.991
18-10-2016,0.9836
13-10-2016,0.9803
10-10-2016,0.943
07-10-2016,0.9954
26-09-2016,0.9732
19-08-2016,0.49015
05-08-2016,0.93
03-06-2016,-0.058
27-05-2016,0.8345
13-05-2016,0.983
04-05-2016,0.9728
16-04-2016,0.9962
13-04-2016,0.6607
07-04-2016,0.5382
30-03-2016,0.9602
16-03-2016,0.98535
12-03-2016,0.8126
24-02-2016,0.9709
17-02-2016,0.9794
15-02-2016,0.9731
29-12-2015,-0.1045
24-11-2015,0.9612
05-08-2015,0.9765
22-07-2015,0.8957
07-04-2015,-0.5176
31-03-2015,0.296
26-03-2015,0.7657
25-02-2015,-0.2975
17-02-2015,0.9408
29-10-2014,0.9929
22-08-2014,0.9994
24-02-2014,0.9863
14-01-2014,0.128
16-09-2013,0.8625
11-09-2013,0.9925
03-04-2013,-0.128
11-02-2013,0.9934
08-01-2013,0.9961
04-12-2012,0.8316
10-10-2012,0.296
08-08-2012,0.8953
17-07-2012,0.9833
09-07-2012,0.9081
01-07-2012,0.7139
10-04-2012,0.9231
17-01-2012,-0.6384
12-12-2011,0.9759
11-05-2011,0.7351
10-03-2011,0.9862
