Date,Average_Sentiment
2023-05-30,0.9976
2023-05-23,0.96615
2023-05-24,0.985
2023-05-22,0.9755
2023-05-19,-0.9366
2023-05-20,-0.9601
2023-05-15,0.94055
2023-05-12,0.8122
2023-05-11,0.9134
2023-05-10,0.9623
2023-05-08,0.75415
2023-05-02,0.9922500000000001
2023-05-01,0.9516
2023-04-28,0.5859
2023-04-27,0.0139
2023-04-22,0.9468
2023-04-20,0.9661
2023-04-18,0.9807
2023-04-17,0.9943
2023-04-16,-0.3832
2023-04-12,0.9894
2023-04-09,0.1511
2023-04-08,0.3269333333333333
2023-04-06,0.1261
2023-04-05,0.45026666666666665
2023-04-02,0.5366500000000001
2023-04-01,0.8384
2023-03-30,0.4514
2023-03-29,0.9843
2023-03-28,0.9684
2023-03-27,-0.9621
2023-03-23,0.0
2023-03-21,-0.65125
2023-03-20,0.019299999999999984
2023-03-16,-0.7835000000000001
2023-03-15,-0.8745999999999999
2023-03-14,0.25366666666666665
2023-03-13,0.79566
2023-03-10,-0.3045
2023-03-09,0.8469499999999999
2023-03-08,0.95
2023-03-07,0.71635
2023-03-06,0.5674
2023-03-03,0.4151
2023-03-02,0.4450200000000001
2023-03-01,0.9638
2023-02-28,0.27835
2023-02-27,0.30625
2023-02-26,0.9607
2023-02-24,0.64484
2023-02-23,0.9899
2023-02-22,0.5719
2023-02-21,-0.34759999999999996
2023-02-20,0.25456666666666666
2023-02-18,0.94775
2023-02-17,0.7149749999999999
2023-02-16,0.9319500000000001
2023-02-15,0.9814999999999999
2023-02-14,0.5826800000000001
2023-02-13,0.8157749999999999
2023-02-12,0.75685
2023-02-10,0.25607500000000005
2023-02-09,-0.7235666666666667
2023-02-08,0.6580428571428572
2023-02-07,0.3774375
2023-02-06,-0.25377777777777777
2023-02-05,0.5994
2023-02-04,0.15848888888888887
2023-02-03,0.4225888888888889
2023-02-02,0.90758
2023-02-01,0.97615
2023-01-31,0.83198
2023-01-30,0.6556428571428572
2023-01-29,0.1531
2023-01-28,0.9644
2023-01-27,-0.031266666666666665
2023-01-26,-0.030899999999999983
2023-01-25,0.9246
2023-01-24,0.3619
2023-01-22,0.95
2023-01-20,0.9265
2023-01-19,0.8931
2023-01-10,0.43705
2023-01-09,0.4215
2023-01-07,0.9892
2023-01-05,0.9982
2023-01-03,0.4528
2023-01-04,0.9876
2022-12-20,0.6597
2022-12-18,0.9796
2022-12-13,0.4404
2022-12-12,0.95
2022-12-09,0.9974
2022-12-05,0.9451
2022-12-04,0.9741
2022-11-29,0.9948
2022-11-28,0.8402
2022-11-25,0.9959
2022-11-24,0.8632
2022-11-23,0.9952
2022-11-22,0.9712
2022-11-18,0.9313
2022-11-14,0.9108
2022-11-11,0.3783
2022-11-10,0.8834
2022-10-17,0.5187
2022-10-13,0.8815
2022-10-10,0.9689
2022-10-03,0.9493
2022-09-22,0.9835
2022-09-20,0.95015
2022-09-19,0.47655
2022-09-16,0.9501
2022-09-15,0.9744
2022-09-08,-0.6597
2022-09-07,0.9896
2022-09-04,0.9972
2022-08-29,0.8774
2022-08-26,0.9792000000000001
2022-08-22,-0.9509
2022-08-03,0.8997999999999999
2022-08-02,0.9856499999999999
2022-07-26,0.8268
2022-07-27,0.0
2022-07-19,0.9866
2022-07-15,0.9954
2022-07-12,0.9758
2022-07-09,0.9859
2022-06-21,0.9842
2022-06-14,0.9978
2022-06-13,0.11914999999999998
2022-05-26,0.7351
2022-05-17,0.8591
2022-05-16,0.9372499999999999
2022-05-10,0.9633
2022-04-07,0.9954
2022-03-28,0.9726
2022-02-08,0.952
2022-01-11,0.9722
2021-12-14,0.9885
2021-11-23,0.9892
2021-10-13,0.9841
2021-08-26,0.9493
2021-08-02,0.9666
2021-07-19,0.9829
2021-06-29,0.9966
2021-06-24,0.9679
2021-06-15,0.83545
2021-06-14,0.3427
2021-06-07,-0.9498
2021-05-13,0.7351
2021-04-12,0.948
2021-04-07,0.9792
2021-03-17,0.9062
2021-01-20,0.0
2020-12-23,0.992
2020-09-01,0.4467
2020-08-24,0.9136
2020-08-20,0.31245
2020-05-14,0.9953
2020-04-13,0.4675
2020-03-20,0.9325
2020-03-09,0.886
2019-11-18,0.8265
2019-10-18,0.9531
2019-06-18,0.9842
2019-05-30,0.9878
2019-03-27,0.9928
2019-01-17,0.9939
2018-11-04,0.969
2018-10-14,0.9887
2018-06-21,-0.7935
2018-06-20,0.9601
2018-05-21,0.8176
2018-03-07,0.9181
2018-03-01,0.9633
2018-02-07,0.9607
2018-02-03,0.9917
2018-01-23,0.9946
2017-12-21,0.9888
2017-12-18,0.9643
2017-12-04,0.6858
2017-10-27,0.9892
2017-10-26,0.993
2017-10-13,0.9648
2017-09-21,0.8777
2017-07-17,0.9559
2017-05-22,0.8516
2017-05-18,0.9599
2017-04-18,0.9738
2017-04-05,0.9972
2017-04-03,0.9521
2017-03-29,0.9952
2017-03-16,0.9201
2017-02-20,0.9899
2017-01-24,-0.9056
2017-01-17,0.9597
2017-01-13,0.9698
2016-12-06,0.9913
2016-12-05,0.9646
2016-12-02,0.9776
2016-11-11,0.987
2016-11-10,0.96915
2016-11-01,0.9418
2016-10-27,0.9922
2016-10-18,0.981
2016-10-13,0.967
2016-10-10,0.9544
2016-10-07,0.9955
2016-09-26,0.9776
2016-08-19,0.02895000000000003
2016-08-05,0.93
2016-06-03,0.2903
2016-05-27,0.9138
2016-05-13,0.9724
2016-05-04,0.4603
2016-04-16,0.9964
2016-04-13,0.7788
2016-04-07,0.5225
2016-03-30,0.9644999999999999
2016-03-16,0.9863500000000001
2016-03-12,0.8126
2016-02-24,0.9773
2016-02-17,0.9824
2016-02-15,0.9731
2015-12-29,-0.6124
2015-11-24,0.9612
2015-08-05,0.9813
2015-07-22,0.872
2015-04-07,-0.7221
2015-03-31,0.7845
2015-03-26,-0.0849
2015-02-25,-0.7845
2015-02-17,0.8149
2014-10-29,0.9935
2014-08-22,0.9994
2014-02-24,0.9746
2014-01-14,-0.1655
2013-09-16,0.9201
2013-09-11,0.9912
2013-04-03,-0.128
2013-02-11,0.9928
2013-01-08,0.9961
2012-12-04,0.8316
2012-10-10,-0.6486
2012-08-08,0.8953
2012-07-17,0.9849
2012-07-09,0.7906
2012-07-01,0.926
2012-04-10,0.8834
2012-01-17,-0.7398
2011-12-12,0.9591
2011-05-11,-0.0772
2011-03-10,0.9898
